birth_year,last_name,first_name,player_country_code,player_name,utr_id,utr_rating
2001,Draper,Jack,GBR,Jack Draper,439496,14.41
2001,Cerundolo,Juan Manuel,ARG,Juan Manuel Cerundolo,251681,14.16
2001,Jianu,Filip Cristian,ROU,Filip Cristian Jianu,No UTR id found,3X6
2001,Ajdukovic,Duje,CRO,Duje Ajdukovic,246967,14.19
2001,Matusevich,Anton,GBR,Anton Matusevich,219043,14.08
2001,Gimeno Valero,Carlos,ESP,Carlos Gimeno Valero,275132,14.55
2001,Sinner,Jannik,ITA,Jannik Sinner,247320,15.47
2001,Forejtek,Jonas,CZE,Jonas Forejtek,253814,14.54
2001,Zeppieri,Giulio,ITA,Giulio Zeppieri,273160,14.21
2001,Skatov,Timofei,KAZ,Timofei Skatov,No UTR id found,3X6
2001,Jacquet,Kyrian,FRA,Kyrian Jacquet,273221,13.70
2001,Vives Marcos ,Pedro,ESP,Pedro Vives Marcos ,1820829,13.59
2001,Maggioli,Emiliano,ITA,Emiliano Maggioli,273162,13.21
2001,Alvarez Varona,Nicolas,ESP,Nicolas Alvarez Varona,412654,14.29
2001,Lehecka,Jiri,CZE,Jiri Lehecka,273063,14.41
2001,Alves,Mateus,BRA,Mateus Alves,1962745,13.95
2001,Andreev,Adrian,BUL,Adrian Andreev,2129590,14.33
2001,Hijikata,Rinky,AUS,Rinky Hijikata,1609719,13.83
2001,Onclin,Gauthier,BEL,Gauthier Onclin,241357,13.72
2001,Nanda,Govind,USA,Govind Nanda,2390968,13.82
2001,Fomin,Sergey,UZB,Sergey Fomin,191841,13.00
2001,Tirante,Thiago Agustin,ARG,Thiago Agustin Tirante,No UTR id found,3X6
2001,Royer,Valentin,FRA,Valentin Royer,2132621,13.82
2001,Paulson,Andrew,CZE,Andrew Paulson,270025,13.94
2001,Vanshelboim,Eric,UKR,Eric Vanshelboim,1730656,13.66
2001,Pucinelli De Almeida,Matheus,BRA,Matheus Pucinelli De Almeida,1962921,13.64
2001,Navone,Mariano,ARG,Mariano Navone,319597,13.60
2001,Tseng,Chun Hsin,TPE,Chun Hsin Tseng,273950,14.52
2001,Delage ,Pierre,FRA,Pierre Delage ,236384,12.68
2001,Farjat,Tomas,ARG,Tomas Farjat,818923,12.99
2001,Marek,Wojciech,POL,Wojciech Marek,230306,13.49
2001,Fearnley,Jacob,GBR,Jacob Fearnley,235420,13.54
2001,Minin,Matvey,RUS,Matvey Minin,202392,13.45
2001,Dambrosi,Giacomo,ITA,Giacomo Dambrosi,244772,13.27
2001,Andreu Garcia ,Francisco,ESP,Francisco Andreu Garcia ,277819,12.99
2001,Passaro,Francesco,ITA,Francesco Passaro,273170,13.34
2001,Baadi,Taha,CAN,Taha Baadi,170788,13.24
2001,Echeverria,John,ESP,John Echeverria,1602240,13.13
2001,Droguet,Titouan,FRA,Titouan Droguet,270893,14.39
2001,Welte,Milan,GER,Milan Welte,235500,13.13
2001,Garcia,Alejandro,ESP,Alejandro Garcia,1907335,13.08
2001,Bellucci ,Mattia,ITA,Mattia Bellucci ,273161,13.62
2001,Kingsley,Cannon,USA,Cannon Kingsley,1906302,13.91
2001,Lingua Lavallen,Alejo Lorenzo,ARG,Alejo Lorenzo Lingua Lavallen,275136,13.48
2001,Loffhagen,George,GBR,George Loffhagen,235413,14.03
2001,Jachuck,Ronan,USA,Ronan Jachuck,1872282,12.99
2001,Moroni,Filippo,ITA,Filippo Moroni,224352,13.41
2001,Nunez,Daniel Antonio,CHI,Daniel Antonio Nunez,146826,13.04
2001,Samrej,Kasidit,THA,Kasidit Samrej,180024,13.40
2001,Erhard,Mathys,FRA,Mathys Erhard,236388,13.41
