utr_id,utr_rating,playerId,playerFamilyName,playerGivenName,playerNationalityCode,playerNationality,profileLink,hiddenPlayer,birthYear,rankMovement,rank,rankEqualFlag,tournamentsPlayed,points,profileImage,tournamentsPlayedSingles,tournamentsPlayedDoubles,pointsRankingSingles,pointsRankingDoubles,pointsRankingTotal,age,player_name
274912,14.53,800409132,Mayot,Harold,FRA,France,/en/players/harold-mayot/800409132/fra/,False,2002,0,1,,29,2951.25,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866be39ff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132120787300000000,,,,,,18,Harold Mayot
2004640,14.05,800418841,Rune,Holger Vitus Nodskov,DEN,Denmark,/en/players/holger-vitus-nodskov-rune/800418841/den/,False,2003,0,2,,15,2663.75,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866be37fe2e.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132120787270000000,,,,,,17,Holger Vitus Nodskov Rune
248318,13.60,800514438,Mochizuki,Shintaro,JPN,Japan,/en/players/shintaro-mochizuki/800514438/jpn/,False,2003,0,3,,20,2186.25,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220958947cfe2e.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132120787270000000,,,,,,17,Shintaro Mochizuki
271079,14.34,800418114,Cazaux,Arthur,FRA,France,/en/players/arthur-cazaux/800418114/fra/,False,2002,0,4,,27,1983.75,"/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137989f9200b768c36fd18.jpg?crop=0.21607224357204166,0,0.25373629840145012,0.50481313098973468&cropmode=percentage&width=54&height=72&rnd=132259734080000000",,,,,,18,Arthur Cazaux
2047948,13.51,800433033,Damm,Martin,USA,USA,/en/players/martin-damm/800433033/usa/,False,2003,0,5,,19,1686.25,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e12209589c39ff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132120787290000000,,,,,,17,Martin Damm
250423,13.82,800400241,Ozolins,Karlis,LAT,Latvia,/en/players/karlis-ozolins/800400241/lat/,False,2002,0,6,,39,1466.25,"/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137989f9690b58ba36fd18.jpg?crop=0.401246425065095,0,0.36825030947197812,0.53899346907414614&cropmode=percentage&width=54&height=72&rnd=132259955890000000",,,,,,18,Karlis Ozolins
1939183,13.26,800493460,Rodrigues,Natan,BRA,Brazil,/en/players/natan-rodrigues/800493460/bra/,False,2002,0,7,,37,1454.0,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e12209589c7afd08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132139026940000000,,,,,,18,Natan Rodrigues
390762,12.96,800516084,Li,Hanwen,CHN,"China, P.R.",/en/players/hanwen-li/800516084/chn/,False,2002,0,8,,43,1420.0,"/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137989f9660848947afe3e.jpg?crop=0.21863437605112618,0,0.4786411032626991,0.39455095862765049&cropmode=percentage&width=54&height=72&rnd=132301433910000000",,,,,,18,Hanwen Li
802583,13.63,800402212,Darderi,Luciano,ITA,Italy,/en/players/luciano-darderi/800402212/ita/,False,2002,0,9,,36,1393.75,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866b67eff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132156106620000000,,,,,,18,Luciano Darderi
2138631,13.83,800416488,Stricker,Dominic Stephan,SUI,Switzerland,/en/players/dominic-stephan-stricker/800416488/sui/,False,2002,0,10,,31,1387.25,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866887fff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132150292100000000,,,,,,18,Dominic Stephan Stricker
